#OTU_ID	KEGG_Description	KEGG_Pathways
K07829	Ras-related protein R-Ras (RRAS)	Human diseases;Cancers_overview;Proteoglycans in cancer|Human diseases;Infectious diseases_Viral;HTLV-I infection|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Cellular processes;Cellular community;Tight junction|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;MAPK signaling pathway|Environmental information processing;Signal transduction;Phospholipase D signaling pathway|Environmental information processing;Signal transduction;cAMP signaling pathway
K07830	Ras-related protein R-Ras2 (RRAS2, TC21)	Human diseases;Cancers_overview;Proteoglycans in cancer|Human diseases;Infectious diseases_Viral;HTLV-I infection|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Cellular processes;Cellular community;Tight junction|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;MAPK signaling pathway|Environmental information processing;Signal transduction;Phospholipase D signaling pathway|Environmental information processing;Signal transduction;cAMP signaling pathway
K07831	Ras-related protein M-Ras (MRAS)	Human diseases;Cancers_overview;Proteoglycans in cancer|Human diseases;Infectious diseases_Viral;HTLV-I infection|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Cellular processes;Cellular community;Tight junction|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;MAPK signaling pathway|Environmental information processing;Signal transduction;Phospholipase D signaling pathway
K07832	Ras-like without CAAX 1 (RIT1)	None
K07833	Ras-like without CAAX 2 (RIT2, RIN)	None
K07834	Ras-related protein Ral-A (RALA)	Human diseases;Cancers_overview;Pathways in cancer|Human diseases;Cancers_specific types;Pancreatic cancer|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;Phospholipase D signaling pathway
K07835	Ras-related protein Ral-B (RALB)	Human diseases;Cancers_overview;Pathways in cancer|Human diseases;Cancers_specific types;Pancreatic cancer|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;Phospholipase D signaling pathway
K07836	Ras-related protein Rap-1B (RAP1B)	Organismal Systems;Immune system;Platelet activation|Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Immune system;Chemokine signaling pathway|Organismal Systems;Digestive system;Pancreatic secretion|Organismal Systems;Nervous system;Long-term potentiation|Organismal Systems;Nervous system;Neurotrophin signaling pathway|Human diseases;Cancers_specific types;Renal cell carcinoma|Cellular processes;Cellular community;Focal adhesion|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;MAPK signaling pathway|Environmental information processing;Signal transduction;cAMP signaling pathway
K07837	Ras-related protein Rap-2A (RAP2A)	None
K07838	Ras-related protein Rap-2B (RAP2B)	None
K07839	Ras-related protein Rap-2C (RAP2C)	None
K07840	DIRAS family, GTP-binding Ras-like 1 (DIRAS1)	None
K07841	DIRAS family, GTP-binding Ras-like 2 (DIRAS2)	None
K07842	DIRAS family, GTP-binding Ras-like 3 (DIRAS3, NOEY2)	None
K07843	RAS, dexamethasone-induced Ras-related protein 1 (RASD1)	Organismal Systems;Environmental adaptation;Circadian entrainment
K07844	RASD family, member 2 (RASD2)	None
K07845	Ras-related associated with diabetes (RRAD, RAD1)	None
K07846	GTP binding protein overexpressed in skeletal muscle (GEM)	None
K07847	Rad and Gem related GTP binding protein 1 (REM1)	None
K07848	Rad and Gem related GTP binding protein 2 (REM2)	None
K07849	Ras homolog enriched in brain like 1 (RHEBL1)	None
K07850	Ras-like protein family member 10A (RASL10A, RRP22)	None
K07851	Ras-like protein family member 10B (RASL10B)	None
K07852	Ras-like protein family member 11A (RASL11A)	None
K07853	Ras-like protein family member 11B (RASL11B)	None
K07854	Ras-like protein family member 12 (RASL12, RIS)	None
K07855	Ras-related and estrogen-regulated growth inhibitor (RERG)	None
K07856	Ras homolog gene family, member B (RHOB)	None
K07857	Ras homolog gene family, member C (RHOC)	None
K07858	Rho family GTPase 2 (RND2)	None
K07859	Rho family GTPase 3 (RND3)	None
K07860	Ras-related C3 botulinum toxin substrate 2 (RAC2)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity|Organismal Systems;Immune system;B cell receptor signaling pathway|Organismal Systems;Immune system;Fc epsilon RI signaling pathway|Organismal Systems;Immune system;Fc gamma R-mediated phagocytosis|Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Immune system;Chemokine signaling pathway|Organismal Systems;Development;Axon guidance|Human diseases;Cancers_overview;Pathways in cancer|Human diseases;Cancers_overview;Choline metabolism in cancer|Human diseases;Cancers_specific types;Colorectal cancer|Human diseases;Cancers_specific types;Pancreatic cancer|Human diseases;Cardiovascular diseases;Viral myocarditis|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Cellular processes;Cellular community;Focal adhesion|Cellular processes;Cellular community;Adherens junction|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;MAPK signaling pathway|Environmental information processing;Signal transduction;Wnt signaling pathway|Environmental information processing;Signal transduction;VEGF signaling pathway|Environmental information processing;Signal transduction;Sphingolipid signaling pathway|Environmental information processing;Signal transduction;cAMP signaling pathway
K07861	Ras-related C3 botulinum toxin substrate 3 (RAC3)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity|Organismal Systems;Immune system;B cell receptor signaling pathway|Organismal Systems;Immune system;Fc epsilon RI signaling pathway|Organismal Systems;Development;Axon guidance|Human diseases;Cancers_overview;Pathways in cancer|Human diseases;Cancers_overview;Choline metabolism in cancer|Human diseases;Cancers_specific types;Colorectal cancer|Human diseases;Cancers_specific types;Pancreatic cancer|Human diseases;Cardiovascular diseases;Viral myocarditis|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Cellular processes;Cellular community;Focal adhesion|Cellular processes;Cellular community;Adherens junction|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;MAPK signaling pathway|Environmental information processing;Signal transduction;Wnt signaling pathway|Environmental information processing;Signal transduction;VEGF signaling pathway|Environmental information processing;Signal transduction;Sphingolipid signaling pathway|Environmental information processing;Signal transduction;cAMP signaling pathway
K07862	serine/threonine transporter (sstT)	None
K07863	Ras homolog gene family, member G (RHOG)	Human diseases;Infectious diseases_Bacterial;Salmonella infection|Human diseases;Infectious diseases_Bacterial;Shigellosis|Human diseases;Infectious diseases_Bacterial;Bacterial invasion of epithelial cells
K07864	Ras homolog gene family, member J (RHOJ, TCL)	None
K07865	Ras homolog gene family, member U (RHOU, WRCH1)	None
K07866	Ras homolog gene family, member V (RHOV, WRCH2)	None
K07868	Rho-related BTB domain-containing protein 1/2 (RHOBTB1_2)	Genetic information processing;Folding, sorting and degradation;Ubiquitin mediated proteolysis
K07869	Rho-related BTB domain-containing protein 3 (RHOBTB3)	None
K07870	Ras homolog gene family, member T1 (RHOT1, ARHT1)	None
K07871	Ras homolog gene family, member T2 (RHOT2, ARHT2)	None
K07872	Ras homolog gene family, member F (RHOF, RIF)	None
K07873	Ras homolog gene family, member H (RHOH, TTF)	Organismal Systems;Immune system;Leukocyte transendothelial migration
K07874	Ras-related protein Rab-1A (RAB1A)	Human diseases;Infectious diseases_Bacterial;Legionellosis
K07875	Ras-related protein Rab-1B (RAB1B)	Human diseases;Infectious diseases_Bacterial;Legionellosis
K07876	Ras-related protein Rab-35 (RAB35, RAB1C)	Cellular processes;Transport and catabolism;Endocytosis
K07877	Ras-related protein Rab-2A (RAB2A)	Environmental information processing;Signal transduction;AMPK signaling pathway
K07878	Ras-related protein Rab-2B (RAB2B)	None
K07879	Ras-related protein Rab-4A (RAB4A, RAB4)	Cellular processes;Transport and catabolism;Endocytosis
K07880	Ras-related protein Rab-4B (RAB4B)	None
K07881	Ras-related protein Rab-14 (RAB14)	Environmental information processing;Signal transduction;AMPK signaling pathway
K07882	Ras-related protein Rab-3A (RAB3A)	Organismal Systems;Endocrine system;Insulin secretion|Organismal Systems;Nervous system;Synaptic vesicle cycle
K07883	Ras-related protein Rab-3C (RAB3C)	None
K07884	Ras-related protein Rab-3D (RAB3D)	Organismal Systems;Digestive system;Pancreatic secretion
K07885	Ras-related protein Rab-27A (RAB27A)	None
K07886	Ras-related protein Rab-27B (RAB27B)	Organismal Systems;Digestive system;Pancreatic secretion
K07887	Ras-related protein Rab-5A (RAB5A)	Organismal Systems;Excretory system;Vasopressin-regulated water reabsorption|Human diseases;Neurodegenerative diseases;Amyotrophic lateral sclerosis (ALS)|Human diseases;Infectious diseases_Parasitic;Amoebiasis|Human diseases;Infectious diseases_Bacterial;Tuberculosis|Cellular processes;Transport and catabolism;Endocytosis|Cellular processes;Transport and catabolism;Phagosome|Environmental information processing;Signal transduction;Ras signaling pathway
K07888	Ras-related protein Rab-5B (RAB5B)	Organismal Systems;Excretory system;Vasopressin-regulated water reabsorption|Human diseases;Infectious diseases_Parasitic;Amoebiasis|Human diseases;Infectious diseases_Bacterial;Tuberculosis|Cellular processes;Transport and catabolism;Endocytosis|Cellular processes;Transport and catabolism;Phagosome|Environmental information processing;Signal transduction;Ras signaling pathway
K07889	Ras-related protein Rab-5C (RAB5C)	Organismal Systems;Excretory system;Vasopressin-regulated water reabsorption|Human diseases;Infectious diseases_Parasitic;Amoebiasis|Human diseases;Infectious diseases_Bacterial;Tuberculosis|Cellular processes;Transport and catabolism;Endocytosis|Cellular processes;Transport and catabolism;Phagosome|Environmental information processing;Signal transduction;Ras signaling pathway
K07890	Ras-related protein Rab-21 (RAB21)	None
K07891	Ras-related protein Rab-22 (RAB22)	Cellular processes;Transport and catabolism;Endocytosis
K07893	Ras-related protein Rab-6A (RAB6A)	None
K07894	Ras-related protein Rab-6B (RAB6B)	None
K07895	Ras-related protein Rab-6C (RAB6C)	None
K07896	Ras-related protein Rab-41 (RAB41)	None
K07897	Ras-related protein Rab-7A (RAB7A)	Human diseases;Infectious diseases_Parasitic;Amoebiasis|Human diseases;Infectious diseases_Bacterial;Salmonella infection|Human diseases;Infectious diseases_Bacterial;Tuberculosis|Cellular processes;Transport and catabolism;Endocytosis|Cellular processes;Transport and catabolism;Phagosome
K07898	Ras-related protein Rab-7B (RAB7B)	Human diseases;Infectious diseases_Parasitic;Amoebiasis|Human diseases;Infectious diseases_Bacterial;Salmonella infection|Cellular processes;Transport and catabolism;Phagosome
K07899	Ras-related protein Rab-9A (RAB9A, RAB9)	Human diseases;Infectious diseases_Viral;Measles
K07900	Ras-related protein Rab-9B (RAB9B)	Human diseases;Infectious diseases_Viral;Measles
K07901	Ras-related protein Rab-8A (RAB8A, MEL)	Organismal Systems;Digestive system;Pancreatic secretion|Cellular processes;Transport and catabolism;Endocytosis|Environmental information processing;Signal transduction;AMPK signaling pathway
K07902	Ras-related protein Rab-8B (RAB8B)	None
K07903	Ras-related protein Rab-10 (RAB10)	Cellular processes;Transport and catabolism;Endocytosis|Environmental information processing;Signal transduction;AMPK signaling pathway
K07904	Ras-related protein Rab-11A (RAB11A)	Organismal Systems;Digestive system;Pancreatic secretion|Organismal Systems;Excretory system;Vasopressin-regulated water reabsorption|Organismal Systems;Excretory system;Endocrine and other factor-regulated calcium reabsorption|Cellular processes;Transport and catabolism;Endocytosis
K07905	Ras-related protein Rab-11B (RAB11B)	Organismal Systems;Excretory system;Vasopressin-regulated water reabsorption|Cellular processes;Transport and catabolism;Endocytosis|Environmental information processing;Signal transduction;AMPK signaling pathway
K07906	Ras-related protein Rab-25 (RAB25)	None
K07907	Ras-related protein Rab-12 (RAB12)	None
K07908	Ras-related protein Rab-15 (RAB15)	None
K07909	Ras-related protein Rab-17 (RAB17)	None
K07910	Ras-related protein Rab-18 (RAB18)	None
K07911	Ras-related protein Rab-20 (RAB20)	None
K07912	Ras-related protein Rab-24 (RAB24)	None
K07913	Ras-related protein Rab-26 (RAB26)	None
K07914	Ras-related protein Rab-37 (RAB37)	None
K07915	Ras-related protein Rab-28 (RAB28)	None
K07916	Ras-related protein Rab-7L1 (RAB7L1, RAB7L)	None
K07917	Ras-related protein Rab-30 (RAB30)	None
K07918	Ras-related protein Rab-32 (RAB32)	None
K07919	Ras-related protein Rab-33A (RAB33A)	None
K07920	Ras-related protein Rab-33B (RAB33B)	None
K07921	Ras-related protein Rab-34 (RAB34)	None
K07922	Ras-related protein Rab-36 (RAB36)	None
K07923	Ras-related protein Rab-38 (RAB38)	None
K07924	Ras-related protein Rab-39A (RAB39A)	None
K07925	Ras-related protein Rab-39B (RAB39B)	None
K07928	Ras-related protein Rab-40 (RAB40)	None
K07929	Ras-related protein Rab-42 (RAB42)	None
K07930	Ras-related protein Rab-43 (RAB43)	None
K07931	Rab-like protein 2 (RABL2)	None
K07933	Rab-like protein 3 (RABL3)	None
K07934	intraflagellar transport protein 27 (IFT27, RAYL, RABL4)	None
K07935	intraflagellar transport protein 22 (IFT22, RABL5)	None
K07936	GTP-binding nuclear protein Ran (RAN)	Human diseases;Infectious diseases_Viral;HTLV-I infection|Human diseases;Infectious diseases_Viral;Epstein-Barr virus infection|Genetic information processing;Translation;RNA transport|Genetic information processing;Translation;Ribosome biogenesis in eukaryotes
K07937	ADP-ribosylation factor 1 (ARF1)	Human diseases;Infectious diseases_Bacterial;Vibrio cholerae infection|Human diseases;Infectious diseases_Bacterial;Legionellosis|Cellular processes;Transport and catabolism;Endocytosis|Environmental information processing;Signal transduction;Phospholipase D signaling pathway
K07938	ADP-ribosylation factor 3 (ARF3)	Cellular processes;Transport and catabolism;Endocytosis
K07939	ADP-ribosylation factor 4 (ARF4)	None
K07940	ADP-ribosylation factor 5 (ARF5)	Cellular processes;Transport and catabolism;Endocytosis
K07941	ADP-ribosylation factor 6 (ARF6)	Organismal Systems;Immune system;Fc gamma R-mediated phagocytosis|Cellular processes;Transport and catabolism;Endocytosis|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Phospholipase D signaling pathway
K07942	ADP-ribosylation factor-like protein 1 (ARL1)	None
K07943	ADP-ribosylation factor-like protein 2 (ARL2)	None
K07944	ADP-ribosylation factor-like protein 3 (ARL3)	None
K07945	ADP-ribosylation factor-like protein 4 (ARL4)	None
K07949	ADP-ribosylation factor-like protein 5A (ARL5A)	None
K07950	ADP-ribosylation factor-like protein 5B (ARL5B)	None
K07951	ADP-ribosylation factor-like protein 6 (ARL6, BBS3)	None
K07952	ADP-ribosylation factor related protein 1 (ARFRP1)	None
K07953	GTP-binding protein SAR1 [EC:3.6.5.-] (SAR1)	Human diseases;Infectious diseases_Bacterial;Legionellosis|Genetic information processing;Folding, sorting and degradation;Protein processing in endoplasmic reticulum
K07955	ADP-ribosylation factor-like protein 8 (ARL8)	None
K07957	ADP-ribosylation factor-like protein 9 (ARL9)	None
K07958	ADP-ribosylation factor-like protein 10 (ARL10)	None
K07959	ADP-ribosylation factor-like protein 11 (ARL11)	None
K07960	ADP-ribosylation factor-like protein 12 (ARL12)	None
K07961	ADP-ribosylation factor-like protein 13 (ARL13)	None
K07962	ADP-ribosylation factor-like protein 13B (ARL13B, ARL2L1)	None
K07963	tripartite motif-containing protein 23 [EC:2.3.2.27] (TRIM23, ARFD1)	None
K07964	heparanase 1 [EC:3.2.1.166] (HPSE)	Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan degradation|Human diseases;Cancers_overview;Proteoglycans in cancer
K07965	heparanase 2 [EC:3.2.1.-] (HPSE2)	Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan degradation|Human diseases;Cancers_overview;Proteoglycans in cancer
K07966	beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-] (B4GALT1)	Metabolism;Carbohydrate metabolism;Galactose metabolism|Metabolism;Glycan biosynthesis and metabolism;N-Glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Various types of N-glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Other types of O-glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan biosynthesis - keratan sulfate|Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid biosynthesis - lacto and neolacto series
K07967	beta-1,4-galactosyltransferase 2 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-] (B4GALT2)	Metabolism;Carbohydrate metabolism;Galactose metabolism|Metabolism;Glycan biosynthesis and metabolism;N-Glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Various types of N-glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Other types of O-glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan biosynthesis - keratan sulfate|Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid biosynthesis - lacto and neolacto series
K07968	beta-1,4-galactosyltransferase 3 [EC:2.4.1.90 2.4.1.38 2.4.1.-] (B4GALT3)	Metabolism;Glycan biosynthesis and metabolism;N-Glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Various types of N-glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Other types of O-glycan biosynthesis|Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan biosynthesis - keratan sulfate|Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid biosynthesis - lacto and neolacto series
K07969	beta-1,4-galactosyltransferase 4 [EC:2.4.1.90 2.4.1.275 2.4.1.-] (B4GALT4)	Metabolism;Glycan biosynthesis and metabolism;Glycosaminoglycan biosynthesis - keratan sulfate|Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid biosynthesis - lacto and neolacto series
K07970	beta-1,3-N-acetylglucosaminyltransferase 3 [EC:2.4.1.-] (B3GNT3)	Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid biosynthesis - lacto and neolacto series
K07971	beta-1,3-N-acetylglucosaminyltransferase 4 [EC:2.4.1.-] (B3GNT4)	Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid biosynthesis - lacto and neolacto series
K07972	guanine nucleotide-binding protein subunit beta, other (GNB)	Organismal Systems;Sensory system;Phototransduction - fly
K07973	guanine nucleotide-binding protein subunit gamma, other (GNG)	Environmental information processing;Signal transduction;MAPK signaling pathway - yeast
K07975	Rho family, other (K07975)	None
K07976	Rab family, other (RAB)	None
K07977	Arf/Sar family, other (ARF)	None
K07978	GntR family transcriptional regulator (plmA)	None
K07979	GntR family transcriptional regulator (ytrA)	None
K07980	killer cell immunoglobulin-like receptor 3DL (KIR3DL)	Organismal Systems;Immune system;Antigen processing and presentation
K07981	killer cell immunoglobulin-like receptor 2DL (KIR2DL)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity|Organismal Systems;Immune system;Antigen processing and presentation
K07982	killer cell immunoglobulin-like receptor 2DS (KIR2DS)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity|Organismal Systems;Immune system;Antigen processing and presentation
K07983	Fc receptor, IgE, high affinity I, gamma polypeptide (FCER1G)	Organismal Systems;Immune system;Platelet activation|Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity|Organismal Systems;Immune system;Fc epsilon RI signaling pathway|Human diseases;Immune diseases;Asthma|Human diseases;Infectious diseases_Bacterial;Tuberculosis|Environmental information processing;Signal transduction;Phospholipase D signaling pathway|Environmental information processing;Signal transduction;Sphingolipid signaling pathway
K07984	SH3-domain binding protein 2 (SH3BP2)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity
K07985	MHC class I-related protein (MIC)	None
K07986	UL16 binding protein (ULBP)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity
K07987	retinoic acid early transcript 1 (RAET1)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity
K07988	hematopoietic cell signal transducer (HCST, DAP10)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity
K07989	EWS/FLI1 activated transcript 2 (EAT2)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity
K07990	SH2 domain protein 1A (SH2D1A, SAP)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity|Human diseases;Infectious diseases_Viral;Measles
K07991	archaeal preflagellin peptidase FlaK [EC:3.4.23.52] (flaK-A, flaK)	None
K07992	TYRO protein tyrosine kinase binding protein (TYROBP, DAP12)	Organismal Systems;Immune system;Natural killer cell mediated cytotoxicity|Organismal Systems;Development;Osteoclast differentiation
K07993	matrix metalloproteinase-11 (stromelysin 3) [EC:3.4.24.-] (MMP11)	None
K07994	matrix metalloproteinase-13 (collagenase 3) [EC:3.4.24.-] (MMP13)	None
K07995	matrix metalloproteinase-15 (membrane-inserted) [EC:3.4.24.-] (MMP15)	None
K07996	matrix metalloproteinase-16 (membrane-inserted) [EC:3.4.24.-] (MMP16)	Human diseases;Cancers_overview;MicroRNAs in cancer
K07997	matrix metalloproteinase-17 (membrane-inserted) [EC:3.4.24.-] (MMP17)	None
K07998	matrix metalloproteinase-19 (RASI) [EC:3.4.24.-] (MMP19, MMP18)	None
K07999	matrix metalloproteinase-20 (enamelysin) [EC:3.4.24.-] (MMP20)	None
K08000	matrix metalloproteinase-21 [EC:3.4.24.-] (MMP21)	None
K08001	matrix metalloproteinase-23 (CA-MMP) [EC:3.4.24.-] (MMP23)	None
K08002	matrix metalloproteinase-24 (membrane-inserted) [EC:3.4.24.-] (MMP24)	None
K08003	matrix metalloproteinase-25 (membrane-inserted) [EC:3.4.24.-] (MMP25)	None
K08004	matrix metalloproteinase-26 (matrilysin-2, endometase) [EC:3.4.24.-] (MMP26)	None
K08005	matrix metalloproteinase-27 [EC:3.4.24.-] (MMP27)	None
K08006	matrix metalloproteinase-28 (epilysin) [EC:3.4.24.-] (MMP28)	None
K08007	villin 2 (ezrin) (VIL2)	Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Digestive system;Gastric acid secretion|Human diseases;Cancers_overview;MicroRNAs in cancer|Human diseases;Cancers_overview;Proteoglycans in cancer|Human diseases;Infectious diseases_Bacterial;Pathogenic Escherichia coli infection|Cellular processes;Cell motility;Regulation of actin cytoskeleton
K08008	NADPH oxidase (NOX, GP91)	Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Development;Osteoclast differentiation|Human diseases;Endocrine and metabolic diseases;AGE-RAGE signaling pathway in diabetic complications|Cellular processes;Transport and catabolism;Phagosome|Environmental information processing;Signal transduction;HIF-1 signaling pathway
K08009	cytochrome b-245, alpha polypeptide (CYBA, P22PHOX)	Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Development;Osteoclast differentiation|Human diseases;Infectious diseases_Parasitic;Leishmaniasis|Cellular processes;Transport and catabolism;Phagosome
K08010	neutrophil cytosolic factor 2 (NCF2, P67PHOX)	Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Development;Osteoclast differentiation|Human diseases;Infectious diseases_Parasitic;Leishmaniasis|Cellular processes;Transport and catabolism;Phagosome
K08011	neutrophil cytosolic factor 1 (NCF1, P47PHOX)	Organismal Systems;Immune system;Fc gamma R-mediated phagocytosis|Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Immune system;Chemokine signaling pathway|Organismal Systems;Development;Osteoclast differentiation|Human diseases;Infectious diseases_Parasitic;Leishmaniasis|Cellular processes;Transport and catabolism;Phagosome
K08012	neutrophil cytosolic factor 4 (NCF4, P40PHOX)	Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Development;Osteoclast differentiation|Human diseases;Infectious diseases_Parasitic;Leishmaniasis|Cellular processes;Transport and catabolism;Phagosome
K08013	signal-induced proliferation-associated gene 1 (SIPA1)	Organismal Systems;Immune system;Leukocyte transendothelial migration|Environmental information processing;Signal transduction;Rap1 signaling pathway
K08014	Rap guanine nucleotide exchange factor 3 (RAPGEF3, EPAC1)	Organismal Systems;Immune system;Leukocyte transendothelial migration|Organismal Systems;Circulatory system;Adrenergic signaling in cardiomyocytes|Organismal Systems;Nervous system;Serotonergic synapse|Organismal Systems;Nervous system;Long-term potentiation|Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;Phospholipase D signaling pathway|Environmental information processing;Signal transduction;cAMP signaling pathway
K08015	Ras association domain-containing protein 5 (RASSF5, RAPL)	Organismal Systems;Immune system;Leukocyte transendothelial migration|Human diseases;Cancers_overview;Pathways in cancer|Human diseases;Cancers_specific types;Non-small cell lung cancer|Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway
K08016	tyrosine-protein kinase TXK [EC:2.7.10.2] (TXK, RLK)	Organismal Systems;Immune system;Leukocyte transendothelial migration
K08017	advillin (AVIL)	None
K08018	Rap guanine nucleotide exchange factor 2 (RAPGEF2, PDZGEF1)	Environmental information processing;Signal transduction;Rap1 signaling pathway|Environmental information processing;Signal transduction;MAPK signaling pathway
K08019	Rap guanine nucleotide exchange factor 5 (RAPGEF5)	Environmental information processing;Signal transduction;Ras signaling pathway|Environmental information processing;Signal transduction;Rap1 signaling pathway
K08020	Rap guanine nucleotide exchange factor 6 (RAPGEF6, PDZGEF2)	Environmental information processing;Signal transduction;Rap1 signaling pathway
K08021	arachidonate 12-lipoxygenase (R-type) [EC:1.13.11.-] (ALOX12B)	Metabolism;Lipid metabolism;Arachidonic acid metabolism|Organismal Systems;Nervous system;Serotonergic synapse
K08022	arachidonate 15-lipoxygenase (second type) / 8-lipoxygenase (S-type) [EC:1.13.11.33 1.13.11.-] (ALOX15B)	Metabolism;Lipid metabolism;Arachidonic acid metabolism|Organismal Systems;Nervous system;Serotonergic synapse
K08023	latent transforming growth factor beta binding protein 2/3/4 (LTBP2_3_4)	None
K08024	homeobox protein HEX (HHEX, HEX, PRH)	Human diseases;Cancers_overview;Transcriptional misregulation in cancer|Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08025	homeobox protein HB9 (HLXB9, HB9)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08026	one cut domain, family member 1, hepatocyte nuclear factor 6 (ONECUT1, HNF6)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young|Cellular processes;Cellular community;Signaling pathways regulating pluripotency of stem cells
K08027	nuclear receptor subfamily 5 group A member 2 (NR5A2, FTF)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08028	neurogenin 3 (NEUROG3)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08029	homeobox protein Nkx-2.2 (NKX2-2)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08030	homeobox protein Nkx-6.1 (NKX6-1)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08031	paired box protein 6 (PAX6)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young|Cellular processes;Cellular community;Signaling pathways regulating pluripotency of stem cells
K08032	paired box protein 4 (PAX4)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08033	neurogenic differentiation factor 1 (NEUROD1)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08034	transcription factor 2, hepatocyte nuclear factor 1-beta (TCF2, HNF1B)	Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
K08035	forkhead box protein A2, hepatocyte nuclear factor 3-beta (FOXA2, HNF3B)	Organismal Systems;Aging;Longevity regulating pathway - worm|Human diseases;Endocrine and metabolic diseases;Maturity onset diabetes of the young
